Alloy ID,Alloy,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,dHmix,dSmix,dGmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Microstructure_,Microstructure,Phases,References
Alloy 0043,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0044,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0045,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0046,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0047,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0048,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0049,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0050,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0051,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0052,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0053,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0054,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0055,Hf1.375Nb0.25Ta0.25Ti1.75Zr1.375,0,0,0,0,0,0,0,0.35,0,0.05,0,0.275,0.275,0.05,0,0,0,0,0,0,0,0,0,0,0,5,0.98,11.44944891,532.6585373,2036.537698,4.495453867,0.114716771,4.1,AC,BCC,BCC,BCC_SS,10.1080/21663831.2016.1221861
Alloy 0056,HfMo0.25NbTaTiZr,0,0,0,0,0,0,0,0.19047619,0,0.19047619,0.047619048,0.19047619,0.19047619,0.19047619,0,0,0,0,0,0,0,0,0,0,0,6,2.467120181,14.33614554,593.2816897,2293.630178,5.272716799,0.189533381,4.476190476,AC,BCC,BCC,BCC_SS,10.1016/j.matlet.2016.03.133
Alloy 0057,HfMo0.5NbTaTiZr,0,0,0,0,0,0,0,0.181818182,0,0.181818182,0.090909091,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,6,2.247933884,14.69798576,595.2103931,2304.310893,5.486928917,0.232176194,4.545454545,AC,BCC,BCC,BCC_SS,10.1016/j.matlet.2016.03.133
Alloy 0058,HfMo0.5NbTiV0.5,0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,5,-2.188365651,12.6484181,544.2137787,2090.311736,8.125950407,0.165384845,4.394736842,AC,BCC,BCC,BCC_SS,10.1016/j.jallcom.2016.10.014
